paperid,referenceids,date,title
376140060,"[3035363, 299098739, 315497074, 474883265]",1998-01-01,INFORMETRICS ON M.N. SRINIVAS
253649184,[],1996-12-01,"Proceedings of the fifth biennial conference of the International Society for Scientometrics and Informetrics: Koenig, Michael E.D. & Bookstein, Abraham, Eds. Medford, NJ: Learned Information, 1995. 703 pp. $79.00 (ISBN 1-57387-010-2)"
244384043,"[116214859, 224750515, 279057380, 42213373, 349048043, 10268360, 286659331, 296568933, 101577208, 444414055, 300445793, 192067807, 472805826, 293327718, 343479368, 52928312, 132015733, 60722387, 230433111, 348363744, 259308591, 140615171, 408391191, 455216593, 165264651, 485047157, 496765699, 309735918, 15920102, 5905798, 86578276, 345186250, 50818625, 90829192, 38396251, 331621253, 342753687, 30109940, 143562169, 367442227, 372424380, 17261791, 384828706, 492285720, 219048093, 267951388]",2006-12-01,Delineating complex scientific fields by an hybrid lexical-citation method: an application to nanosciences
473391409,[],2019-01-01,The influence of corresponding authorship on the impact of collaborative publications: a study on Brazilian institutions (2003-2015)
118198578,[],2015-01-01,The growth of Brazilian metrics literature
122036544,"[42213373, 56261018, 130384451, 189412140, 223980646, 256961184, 109474376, 25925870, 42850945, 83840139, 384532018, 17033431, 408391191, 174335980, 340175803, 73665462, 433412856, 151551305]",2004-01-01,Positive reinforcement and 3-dimensional informetrics
386183489,[],2017-01-01,The open citations revolution
363356485,"[127768830, 211003432, 143167406, 421724020, 119457297, 343479368, 90127323, 101940518, 88420071, 471273673, 264030756, 481780920, 375966784, 330743992, 186261594, 255705106, 32217382]",2006-12-01,Towards all-author co-citation analysis
86290758,[],2015-01-01,ISSI 2015 Üzerine Kısa Bir Değerlendirme
150831442,[],2011-01-01,Intellectual Structure and Infrastructure of Informetrics: Domain Analysis from 2001 to 2010
295534931,[344273420],2013-03-01,Collaboration Networks and Document Netwoms in Informetrics Research from 2001 to 2011
194478420,[],1997-01-01,"Sixth International Conference of the International Society for Scientometrics and Informetrics : proceedings 1997, Jerusalem, June 16-19, 1997"
443662675,[],2003-01-01,Applied informetrics for information retrieval research
